"date","close","open","high","low","volume","변동 %"
"2021-11-25","4,519.71","4,272.28","4,549.18","4,248.98","445.83K","5.85%"
"2021-11-24","4,270.00","4,338.75","4,372.80","4,171.89","448.73K","-1.62%"
"2021-11-23","4,340.45","4,088.03","4,384.72","4,062.19","502.79K","6.21%"
"2021-11-22","4,086.52","4,263.24","4,311.17","4,026.64","518.63K","-4.26%"
"2021-11-21","4,268.16","4,412.18","4,422.54","4,246.31","340.07K","-3.17%"
"2021-11-20","4,408.00","4,294.75","4,434.09","4,206.02","365.23K","2.62%"
"2021-11-19","4,295.39","3,996.26","4,305.18","3,978.34","420.39K","7.30%"
"2021-11-18","4,003.13","4,291.23","4,342.67","3,958.35","576.62K","-6.71%"
"2021-11-17","4,290.99","4,208.75","4,298.72","4,070.81","472.87K","1.96%"
"2021-11-16","4,208.42","4,562.12","4,562.12","4,111.94","735.80K","-7.77%"
"2021-11-15","4,563.04","4,634.28","4,770.01","4,544.21","375.48K","-1.36%"
"2021-11-14","4,625.76","4,644.94","4,692.28","4,514.81","245.31K","-0.41%"
"2021-11-13","4,644.58","4,669.97","4,704.89","4,585.21","220.73K","-0.45%"
"2021-11-12","4,665.46","4,718.28","4,807.78","4,512.66","461.58K","-1.17%"
"2021-11-11","4,720.86","4,625.11","4,778.09","4,578.99","303.77K","1.88%"
"2021-11-10","4,633.95","4,732.74","4,864.13","4,507.15","553.55K","-2.07%"
"2021-11-09","4,731.68","4,804.50","4,836.54","4,715.36","311.31K","-1.59%"
"2021-11-08","4,808.09","4,613.20","4,822.96","4,613.20","391.09K","4.26%"
"2021-11-07","4,611.73","4,516.46","4,634.35","4,502.38","243.69K","2.09%"
"2021-11-06","4,517.27","4,473.03","4,526.66","4,330.83","322.09K","0.95%"
"2021-11-05","4,474.98","4,533.16","4,569.43","4,439.00","305.64K","-1.34%"
"2021-11-04","4,535.53","4,603.78","4,604.98","4,421.72","368.26K","-1.45%"
"2021-11-03","4,602.42","4,589.26","4,661.14","4,459.50","448.68K","0.36%"
"2021-11-02","4,585.74","4,318.80","4,598.12","4,287.86","468.16K","6.13%"
"2021-11-01","4,320.91","4,288.93","4,377.37","4,158.07","417.62K","0.78%"
"2021-10-31","4,287.60","4,327.99","4,393.48","4,170.48","413.75K","-0.79%"
"2021-10-30","4,321.56","4,420.46","4,427.46","4,250.84","340.24K","-2.09%"
"2021-10-29","4,413.79","4,286.51","4,459.04","4,268.25","559.06K","3.02%"
"2021-10-28","4,284.51","3,923.58","4,289.44","3,895.91","626.56K","9.25%"
"2021-10-27","3,921.72","4,130.52","4,300.31","3,914.22","704.44K","-5.04%"
"2021-10-26","4,129.69","4,225.63","4,292.35","4,098.35","414.49K","-2.15%"
"2021-10-25","4,220.35","4,084.10","4,235.25","4,069.92","347.43K","3.36%"
"2021-10-24","4,083.18","4,171.99","4,183.98","3,965.55","350.13K","-2.05%"
"2021-10-23","4,168.78","3,971.49","4,168.78","3,938.36","326.59K","4.98%"
"2021-10-22","3,970.90","4,053.34","4,163.97","3,896.17","463.25K","-2.05%"
"2021-10-21","4,054.15","4,161.79","4,365.70","4,028.35","798.63K","-2.55%"
"2021-10-20","4,160.21","3,882.65","4,168.40","3,830.31","537.35K","7.31%"
"2021-10-19","3,876.71","3,745.28","3,884.23","3,733.81","341.28K","3.44%"
"2021-10-18","3,747.62","3,849.34","3,892.36","3,685.35","401.93K","-2.52%"
"2021-10-17","3,844.63","3,829.47","3,917.62","3,666.11","368.80K","0.43%"
"2021-10-16","3,828.25","3,872.68","3,967.73","3,804.46","373.76K","-1.05%"
"2021-10-15","3,868.99","3,790.95","3,906.54","3,735.10","504.33K","2.08%"
"2021-10-14","3,790.18","3,609.00","3,819.81","3,588.20","481.88K","5.07%"
"2021-10-13","3,607.21","3,490.76","3,611.83","3,415.45","393.40K","3.39%"
"2021-10-12","3,489.00","3,541.35","3,544.88","3,404.64","409.44K","-1.58%"
